Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,NPS,95,282.26
2010,WDFW,WDFW,WA,WA,Electronic,Estuary Sport,Marine Sport,SPS,2,22.87
2010,WDFW,SRSC,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,SKAG,17,63
2010,WDFW,WDFW,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,GRAY,3,0
2010,WDFW,WDFW,WA,WA,Electronic,Fish Trap (freshwater),Fish Trap,JUAN,12,0
2010,USFWS,USFWS,WA,CR,Visual,Hatchery,Hatchery Returns,CECR,1528,2663.28
2010,WDFW,WDFW,WA,CR,Electronic,Fish Trap (freshwater),Fish Trap,SNAK,1598,1629.96
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Net,Dip Bag Net,CECR,222,0
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Net,Dip Bag Net,UPCR,3000,0
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Net,Set Net,CECR,111,0
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Net,Set Net,UPCR,1500,0
2010,WDFW,USFWS,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,UPCR,52,168.32
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,CECR,65,422.4
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,HOOD,30,
2010,WDFW,WDFW,WA,CR,Electronic,Spawning Ground,Spawning Ground,CECR,33,146.96
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,NPS,16,56.16
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,SKAG,82,187.94
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,SNAK,115,393.96
2010,WDFW,WDFW,WA,WA,Electronic,Freshwater Sport,Freshwater Sport,SPS,6,55.33
2010,WDFW,WDFW,WA,CR,Electronic,Freshwater Sport,Freshwater Sport,UPCR,21,18.34
2010,WDFW,QUIL,WA,WA,Electronic,Hatchery,Hatchery,NWC,22,23.1
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,GRAY,16,11
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,HOOD,2149,2172.02
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,JUAN,7,7
2011,ODFW,ODFW,OR,CR,Electronic,Columbia River Gillnet,Columbia River Gillnet,CECR,1591,8989.33
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,MPS,1501,1572.52
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,NOWA,1490,1415
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,NPS,900,970.92
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,SKAG,1274,1286.68
2010,WDFW,WDFW,WA,CR,Electronic,Hatchery,Hatchery,SNAK,450,530.84
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,SPS,400,400.85
2010,WDFW,WDFW,WA,CR,Electronic,Hatchery,Hatchery,UPCR,1588,2796.77
2010,WDFW,WDFW,WA,WA,Electronic,Hatchery,Hatchery,WILP,629,640.57
2010,WDFW,MAKAH,WA,WA,Electronic,Mixed Net and Seine,Set Gillnet,NWC,1,0
2010,WDFW,SRSC,WA,WA,Electronic,Mixed Net and Seine,Set Gillnet,SKAG,42,47.82
