Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,WDFW,WDFW,WA,WA,Electronic,Mixed Net and Seine,Treaty Drift Gillnet,NPS,18,56.11
2010,WDFW,WDFW,WA,WA,Electronic,Mixed Net and Seine,Treaty Drift Gillnet,SKAG,273,502.93
2010,WDFW,WDFW,WA,WA,Electronic,Mixed Net and Seine,Treaty Purse Seine,NOWA,26,51.46
2010,WDFW,WDFW,WA,WA,Electronic,Ocean Sport,Marine Sport,WILP,5,0
2010,WDFW,WDFW,WA,WA,Electronic,Ocean Troll (non-treaty),Troll (Non-treaty),GRAY,53,137.69
2010,WDFW,WDFW,WA,WA,Electronic,Ocean Troll (non-treaty),Troll (Non-treaty),NWC,14,16.42
2010,WDFW,WDFW,WA,WA,Electronic,Ocean Troll (non-treaty),Troll (Non-treaty),WILP,8,10.38
2010,WDFW,LUMMI,WA,WA,Electronic,Spawning Ground,Spawning Ground,NOWA,1,0
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Fish Trap,JUAN,1,0
2010,WDFW,WDFW,WA,CR,Electronic,Spawning Ground,Spawning Ground,CECR,6,
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,GRAY,27,0
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,HOOD,1,0
2010,WDFW,WDFW,WA,CR,Electronic,Spawning Ground,Spawning Ground,LOCR,76,
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,MPS,2,0
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,NWC,7,30.76
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,SPS,1,
2010,WDFW,WDFW,WA,CR,Electronic,Spawning Ground,Spawning Ground,UPCR,1,0
2010,WDFW,WDFW,WA,WA,Electronic,Spawning Ground,Spawning Ground,WILP,4,
2010,WDFW,WDFW,WA,WA,Electronic,Sport (charter),Marine Sport,GRAY,198,551.97
2010,WDFW,WDFW,WA,WA,Electronic,Sport (charter),Marine Sport,NWC,18,28.19
2010,WDFW,WDFW,WA,WA,Electronic,Sport (charter),Marine Sport,WILP,421,653.86
2010,WDFW,WDFW,WA,WA,Electronic,Sport (private),Marine Sport,GRAY,208,601.5
2010,WDFW,WDFW,WA,WA,Electronic,Sport (private),Marine Sport,JUAN,23,59.16
2010,WDFW,WDFW,WA,CR,Electronic,Sport (private),Marine Sport,LOCR,42,199.8
2010,WDFW,WDFW,WA,WA,Electronic,Sport (private),Marine Sport,NWC,104,253.55
2010,WDFW,WDFW,WA,WA,Electronic,Sport (private),Marine Sport,WCVI,22,63.54
2010,WDFW,WDFW,WA,WA,Electronic,Sport (private),Marine Sport,WILP,362,1237.09
2010,WDFW,WDFW,WA,WA,Electronic,Test Fishery Seine,Treaty Purse Seine,NPS,1,1
2010,WDFW,MAKAH,WA,WA,Electronic,Treaty Troll,Treaty Troll,NWC,84,332.58
2010,WDFW,WDFW,WA,CR,Electronic,Wild Broodstock Collection,Wild Broodstock Collection,LOCR,15,0
2011,ADFG,ADFG,AK,AK,Visual,Aboriginal Gillnet,M.I.C. Drift Gillnet,SEAK,47,670.33
2011,ADFG,ADFG,AK,AK,Visual,Coastal Gillnet,Terminal Area Drift Gillnet,SEAK,59,290.67
2011,ADFG,ADFG,AK,AK,Visual,Commercial Seine,Traditional Purse Seine,SEAK,1250,5759
2011,ADFG,ADFG,AK,AK,Visual,Commercial Seine,Traditional Purse Seine,WEAK,120,0
2011,ADFG,ADFG,AK,AK,Visual,Freshwater Sport,Freshwater Sport (FF),CHIL,2,0
2011,ADFG,ADFG,AK,AK,Visual,Freshwater Sport,Freshwater Sport (FF),SEAK,3,0
2011,ADFG,ADFG,AK,AK,Visual,Hatchery,Rack Returns,SEAK,936,
2011,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,SEAK,87,0
2011,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Multiple Fisheries,WEAK,49,0
2011,ADFG,ADFG,AK,AK,Visual,Multiple Gear,Traditional Multiple/Unknown gear,WEAK,5,0
2011,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,CHIL,10,40.2
2011,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,SEAK,1797,4461.32
2011,ADFG,ADFG,AK,AK,Visual,Ocean Gillnet (non-treaty),Traditional Drift Gillnet,TAWH,7,46.27
2011,ADFG,ADFG,AK,AK,Visual,Ocean Sport,Marine Sport,SEAK,453,813.65
2011,ADFG,ADFG,AK,AK,Visual,Ocean Sport,"Marine Sport (DE,DT,MB,MR,MS)",SEAK,453,813.65
2011,ADFG,ADFG,AK,AK,Visual,Ocean Troll - Day Boat,Experimental Area Troll,SEAK,61,149.36
